Entity Name,Classification,Confidence,Split Entities,Explanation
"YourLawyer Pty Ltd, Ringwood",MULTIPLE,HIGH,"YourLawyer Pty Ltd, Ringwood",This is a company and a location; two separate entities.
"Eastern Suburbs Rugby Club, Canberra",MULTIPLE,HIGH,"Eastern Suburbs Rugby Club, Canberra",This is a rugby club and a location; two separate entities.
"Macquarie, MLC, NAB",MULTIPLE,HIGH,"Macquarie, MLC, NAB","Macquarie Group, MLC (now part of NAB), and NAB (National Australia Bank) are three separate financial institutions."
"Macquarie, NAB",MULTIPLE,HIGH,"Macquarie, NAB",Macquarie Group and NAB (National Australia Bank) are two separate financial institutions.
"The Roosevelt Hotel, New York",MULTIPLE,HIGH,"The Roosevelt Hotel, New York",This is a hotel and a city; two separate entities.
"Royal Princess Hotel Larn Luang, Bangkok",MULTIPLE,HIGH,"Royal Princess Hotel Larn Luang, Bangkok",This is a hotel and a city; two separate entities.
"Royal Princess Larn Luang Hotel, Bangkok",MULTIPLE,HIGH,"Royal Princess Larn Luang Hotel, Bangkok",This is a hotel and a city; two separate entities.
"Huating Hotel, Shanghai",MULTIPLE,HIGH,"Huating Hotel, Shanghai",This is a hotel and a city; two separate entities.
"Atura Hotel, Blacktown",MULTIPLE,HIGH,"Atura Hotel, Blacktown",This is a hotel and a suburb; two separate entities.
"Hotel Mulia Senayan, Jakarta",MULTIPLE,HIGH,"Hotel Mulia Senayan, Jakarta",This is a hotel and a city; two separate entities.
"SMART Infrastructure Facility, University of Wollongong",MULTIPLE,HIGH,"SMART Infrastructure Facility, University of Wollongong",This is a facility and a university; two separate entities.
"InterContinental Hotel, Adelaide",MULTIPLE,HIGH,"InterContinental Hotel, Adelaide",This is a hotel and a city; two separate entities.
"Hilton Hotel, Sydney",MULTIPLE,HIGH,"Hilton Hotel, Sydney",This is a hotel and a city; two separate entities.
"Padma Legian Hotel, Bali",MULTIPLE,HIGH,"Padma Legian Hotel, Bali",This is a hotel and an island; two separate entities.
"Roger Smith, Hotel, New York",MULTIPLE,HIGH,"Roger Smith Hotel, New York",This appears to be a hotel name (Roger Smith Hotel) and a location; two separate entities.
"Hotel Orsay, Paris",MULTIPLE,HIGH,"Hotel Orsay, Paris",This is a hotel and a city; two separate entities.
"Radisson Blu Hotel, Berlin",MULTIPLE,HIGH,"Radisson Blu Hotel, Berlin",This is a hotel and a city; two separate entities.
Council of Small Business Australia and Intuit Inc.,MULTIPLE,HIGH,"Council of Small Business Australia, Intuit Inc.",These are clearly two separate organizations mentioned jointly in the context provided.
Marilyn and Gary Nicholas,MULTIPLE,HIGH,"Marilyn, Gary Nicholas",This refers to two individuals.
President of the Swiss Confederation and Head of the Federal Department of Foreign Affairs,MULTIPLE,HIGH,"President of the Swiss Confederation, Head of the Federal Department of Foreign Affairs","These are two distinct governmental roles, likely held by the same person."
Kerry and Christine Stokes,MULTIPLE,HIGH,"Kerry, Christine Stokes",These are two individuals.
Australia-Guangdong Chamber of Commerce and the Communist Party of China,MULTIPLE,HIGH,"Australia-Guangdong Chamber of Commerce, the Communist Party of China",These are two distinct organizations.
Gates Foundation and Save the Children Australia,MULTIPLE,HIGH,"Gates Foundation, Save the Children Australia","These are two separate, well-known organizations."
SA Buchholz & LC Buchholz and CE Fanning & AH Fanning,MULTIPLE,HIGH,"SA Buchholz & LC Buchholz, CE Fanning & AH Fanning","Appears to be two distinct sets of individuals, likely partnerships."
"Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi, and the Government of the United Arab Emirates",MULTIPLE,HIGH,"Sheikh Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi, the Government of the United Arab Emirates",This refers to an individual and a government.
Australia China Business Council and Huawei Technologies,MULTIPLE,HIGH,"Australia China Business Council, Huawei Technologies",These are two distinct organizations.
Australian - Guangdong Chamber of Commerce and the Communist Party of China,MULTIPLE,HIGH,"Australian - Guangdong Chamber of Commerce, the Communist Party of China",These are two distinct organizations.
"Cairns Penny Savings and Loans, ING Direct, Westpac",MULTIPLE,HIGH,"Cairns Penny Savings and Loans, ING Direct, Westpac",These are three separate financial institutions.
National Australia Bank and Newcastle Permanent,MULTIPLE,HIGH,"National Australia Bank, Newcastle Permanent",These are two separate banks.
Visy and The Australian,MULTIPLE,HIGH,"Visy, The Australian",These are two separate organizations.
"Australian Mango Industry Association, Mushroom Growers Association and Onions Australia",MULTIPLE,HIGH,"Australian Mango Industry Association, Mushroom Growers Association, Onions Australia",These are three distinct industry associations.
"QANTAS - Chairmans, VIRGIN- The Club, Country Liberals, Territory Thunder Football Club, SIDS and Kids NT, Epique, RAAF Fishing Club, NT Police Association, Darwin Turf Club, ACCOR Membership",MULTIPLE,HIGH,"QANTAS - Chairmans, VIRGIN- The Club, Country Liberals, Territory Thunder Football Club, SIDS and Kids NT, Epique, RAAF Fishing Club, NT Police Association, Darwin Turf Club, ACCOR Membership",This lists multiple distinct organizations and memberships.
Taiwanese Government and Taipei Economic & Cultural Office,MULTIPLE,HIGH,"Taiwanese Government, Taipei Economic & Cultural Office",These are two distinct entities.
"Australian Subscription Television and Radio Association, Qantas Airways, Virgin Australia",MULTIPLE,HIGH,"Australian Subscription Television and Radio Association, Qantas Airways, Virgin Australia",These are three separate organizations.
William Ernest Hendy Estate and Family Foundation Trust,MULTIPLE,HIGH,"William Ernest Hendy Estate, Family Foundation Trust",These are two separate entities.
Virgin and Qantas,MULTIPLE,HIGH,"Virgin, Qantas",These are two separate airlines.
Qantas Airways and Virgin Australia,MULTIPLE,HIGH,"Qantas Airways, Virgin Australia",These are two separate airlines.
Mr Simon Coveney TD and Ambassador H.E. Mr. Noël White,MULTIPLE,HIGH,"Mr Simon Coveney TD, Ambassador H.E. Mr. Noël White",These are two different individuals.
"Rural Industries Research and Development Corporation, Royal Embassy of Saudi Arabia",MULTIPLE,HIGH,"Rural Industries Research and Development Corporation, Royal Embassy of Saudi Arabia",These are two distinct organizations.
"National Rugby League Limited, Australian Dairy Industry Council, Mr Keene, One Mandate Publishing, The Australia and New Zealand School of Government, Australian Made Shop Pty Ltd",MULTIPLE,HIGH,"National Rugby League Limited, Australian Dairy Industry Council, Mr Keene, One Mandate Publishing, The Australia and New Zealand School of Government, Australian Made Shop Pty Ltd",This lists multiple distinct organizations and individuals.
"Delisi Group and Bindaree Beef, Qantas, Australian Wool Innovation",MULTIPLE,HIGH,"Delisi Group, Bindaree Beef, Qantas, Australian Wool Innovation","These are three distinct organizations; Delisi Group and Bindaree Beef could be considered a single entity, but in the context of gifts from multiple sources, they are listed as separate"
Mr Harry and Mrs Demetra Xydas,MULTIPLE,HIGH,"Mr Harry, Mrs Demetra Xydas",These are two individuals.
Maison Souvannaphoum hotel and Laos Plaza Hotel,MULTIPLE,HIGH,"Maison Souvannaphoum hotel, Laos Plaza Hotel",These are two separate hotels.
NRL and the Raiders,MULTIPLE,HIGH,"NRL, the Raiders",These are two distinct organizations (NRL and a specific rugby league team).
AMP and Unisuper,MULTIPLE,HIGH,"AMP, Unisuper",These are two separate superannuation providers.
Australian Subscription Television Assoc. / Foxtel,MULTIPLE,HIGH,"Australian Subscription Television Assoc., Foxtel","The `/` suggests a listing of two different entities.  While related, they are separate organizations."
AFG/NAB,MULTIPLE,HIGH,"AFG, NAB",The `/` strongly suggests two separate financial institutions are mentioned.
Save the Children Australia / Gates Foundation,MULTIPLE,HIGH,"Save the Children Australia, Gates Foundation","Two distinct organizations, one an Australian NGO and the other a US foundation."
Bank of Melbourne / St George Bank,MULTIPLE,HIGH,"Bank of Melbourne, St George Bank","Two separate banks, both operating in Australia, are listed."
Save The Children Australia/Gates Foundation,MULTIPLE,HIGH,"Save The Children Australia, Gates Foundation",Same as entry 8; two distinct organizations.
Israel / Palestinian Territories,MULTIPLE,HIGH,"Israel, Palestinian Territories",These are two distinct geopolitical entities.
Foxtel/ASTRA,MULTIPLE,HIGH,"Foxtel, ASTRA",Two separate entities in the Australian media and telecommunications industries.
COMMSEC/COMMONWEALTH BANK,MULTIPLE,HIGH,"COMMSEC, COMMONWEALTH BANK",Likely refers to two separate entities: COMMSEC (Australian Signals Directorate) and the Commonwealth Bank.
WESTPAC/AMEX,MULTIPLE,HIGH,"WESTPAC, AMEX",Two separate financial institutions.
WESTPAC/COMMONWEALTH BANK,MULTIPLE,HIGH,"WESTPAC, COMMONWEALTH BANK",Two separate Australian banks.
NAB/St George,MULTIPLE,HIGH,"NAB, St George",Two separate Australian banks.
Pepe Family Trust / Pasin Nominees Pty Ltd,MULTIPLE,HIGH,"Pepe Family Trust, Pasin Nominees Pty Ltd",A family trust and a separate Pty Ltd company.
Westpac/ING/ME Bank,MULTIPLE,HIGH,"Westpac, ING, ME Bank",Three separate Australian financial institutions.
QANTAS/VIRGIN,MULTIPLE,HIGH,"QANTAS, VIRGIN",Two major Australian airlines.
Hunternet/HunterNetCo-Operative Ltd,MULTIPLE,HIGH,"Hunternet, HunterNetCo-Operative Ltd",Likely two related but separate entities.
NAB/ANZ/Macquarie Bank,MULTIPLE,HIGH,"NAB, ANZ, Macquarie Bank",Three major Australian banks.
Sydney Theatre Company/ St George Bank,MULTIPLE,HIGH,"Sydney Theatre Company, St George Bank",A theatre company and a bank.
Qantas/Virgin,MULTIPLE,HIGH,"Qantas, Virgin",Two major Australian airlines.
Warrane/Mornington Neighbourhood House,MULTIPLE,HIGH,"Warrane, Mornington Neighbourhood House","Likely two separate entities, possibly related community organizations."
Dreyfus Superannuation Fund/Kenley Dale Pty Ltd,MULTIPLE,HIGH,"Dreyfus Superannuation Fund, Kenley Dale Pty Ltd",A superannuation fund and a Pty Ltd company.
Australian Subscription Television Assoc/Foxtel,MULTIPLE,HIGH,"Australian Subscription Television Assoc, Foxtel",Same as entry 5; two separate organizations.
Tennis Australia/Australian Open,MULTIPLE,HIGH,"Tennis Australia, Australian Open",The governing body for tennis in Australia and its major tournament.
YouTube/Google/Allure EPM,MULTIPLE,HIGH,"YouTube, Google, Allure EPM",Three distinct global companies.
Mia Garlick/Facebook,MULTIPLE,HIGH,"Mia Garlick, Facebook",An individual and a social media company.
RDA Central West/Sam Harma,MULTIPLE,HIGH,"RDA Central West, Sam Harma",An organization and an individual.
NSW Nationals/Lithgow Branch,MULTIPLE,HIGH,"NSW Nationals, Lithgow Branch",A political party and one of its branches.
Khalil Family Trust/Arcana Partners PTY LTD,MULTIPLE,HIGH,"Khalil Family Trust, Arcana Partners PTY LTD",A family trust and a Pty Ltd company.
Khalil Family Trust /Arcana Partners PTY LTD,MULTIPLE,HIGH,"Khalil Family Trust, Arcana Partners PTY LTD",Same as previous entry.
Spouse/Partner,MULTIPLE,HIGH,"Spouse, Partner",Two individuals.
Dunsborough/Yallingup CCI,MULTIPLE,HIGH,"Dunsborough, Yallingup CCI",Likely refers to two separate locations or organizations within a CCI (Chamber of Commerce and Industry).
Donnybrook/Balingup CCI,MULTIPLE,HIGH,"Donnybrook, Balingup CCI",Similar to the previous entry.
Bank of Queensland / VISA,MULTIPLE,HIGH,"Bank of Queensland, VISA",A bank and a payment network.
Westpac/Amex,MULTIPLE,HIGH,"Westpac, Amex",Two financial institutions.
NAB/AMP,MULTIPLE,HIGH,"NAB, AMP",Two Australian financial institutions.
Pepe Family Trust/ Pasin Nominees Pty Ltd,MULTIPLE,HIGH,"Pepe Family Trust, Pasin Nominees Pty Ltd",Same as entry 18.
Yolla Cooperative/Australian Independent Rural Retailers,MULTIPLE,HIGH,"Yolla Cooperative, Australian Independent Rural Retailers",Two separate organizations.
ABC Friends SA/NT,MULTIPLE,HIGH,"ABC Friends SA, NT",Likely refers to the South Australian and Northern Territory branches of ABC Friends.
Cricket Australia and Cricket Queensland,MULTIPLE,HIGH,"Cricket Australia, Cricket Queensland",Two distinct state-level cricket organizations are clearly named.
ING Direct and Westpac,MULTIPLE,HIGH,"ING Direct, Westpac","These are two separate, well-known Australian banks."
Sustaining Australia TV and the Australian Food & Grocery Council,MULTIPLE,HIGH,"Sustaining Australia TV, the Australian Food & Grocery Council",Two clearly distinct organizations are mentioned.
Tabcorp and Network Ten,MULTIPLE,HIGH,"Tabcorp, Network Ten",These are two separate and well-known Australian media and entertainment companies.
ANZ and Commonwealth Banks,MULTIPLE,HIGH,"ANZ, Commonwealth Bank",These are two separate major Australian banks.
Australian Made Campaign Limited and Australian Chamber of Commerce and Industry,MULTIPLE,HIGH,"Australian Made Campaign Limited, Australian Chamber of Commerce and Industry",These are two different Australian organizations.
Tennis Australia and Tennis West,MULTIPLE,HIGH,"Tennis Australia, Tennis West",Two distinct state-level tennis organizations are mentioned.
Konrad-Adenauer Siftung and Henry Jackson Society,MULTIPLE,HIGH,"Konrad-Adenauer Siftung, Henry Jackson Society",These are two distinct international organizations.
Qantas and Virgin lounges,MULTIPLE,HIGH,"Qantas lounges, Virgin lounges",These refer to the separate airline lounges of Qantas and Virgin Australia.
Kevin and Karen Hogan,MULTIPLE,HIGH,"Kevin Hogan, Karen Hogan",These are two individuals.
"Kennedy Pavilion, Tabcorp Pavilion and Newscorp Pavilion",MULTIPLE,HIGH,"Kennedy Pavilion, Tabcorp Pavilion, Newscorp Pavilion",These are three separate pavilions.
QANTAS and Virgin,MULTIPLE,HIGH,"QANTAS, Virgin Australia",These are two separate airlines.
Qantas and Virgin Cards,MULTIPLE,HIGH,"Qantas Cards, Virgin Cards",These are the separate credit card programs of Qantas and Virgin.
"Commonwealth Bank, Westpac and St George",MULTIPLE,HIGH,"Commonwealth Bank, Westpac, St George",These are three separate Australian banks.
Australian Institute of Landscape Architects and the American Society of Landscape Architects,MULTIPLE,HIGH,"Australian Institute of Landscape Architects, the American Society of Landscape Architects",These are two different professional organizations.
Self and Spouse/Partner,MULTIPLE,HIGH,"Self, Spouse/Partner",These refer to two individuals.
"Bendigo Bank, Westpac and CBA",MULTIPLE,HIGH,"Bendigo Bank, Westpac, CBA",These are three separate Australian banks.
President of the Republic of France and Mrs Brigitte Macron,MULTIPLE,HIGH,"President of the Republic of France, Mrs Brigitte Macron",These are two distinct individuals.
President and First Lady of the United States of America,MULTIPLE,HIGH,"President of the United States of America, First Lady of the United States of America",These are two distinct individuals.
